Unique Merchant SKU,MPN/ISBN,UPC or EAN,Brand / Manufacturer,Product Name,Product URL,Current Price,Original Price,Category ID,Product Description,Image URL,Product Type,Condition,Stock Availability,Shipping Weight,Zip Code,Bundle,Related Products,
63,9780936785431,9780936785431,,A Reason For Handwriting E - Cursive,https://shop.rocksolidinc.com/a-reason-for-handwriting-e---cursive-p63.aspx?utm_medium=cse&utm_source=shoppingcom,15.94,17.95,,"This program is traditional, and uses scripture for practice. Each colorful book contains approx. 175 pages, 27 - 32 weekly lessons with writing practice pages in the back and are consumable. Level A would be 1st grade, level B is 2nd, etc. The new Transition Book is to be used as a substitute for Level B, or Level C. If you want to introduce cursive to your second grader , then you would omit Level B. If you want to wait till 3rd grade to introduce cursive, then omit Level C. In levels C, D, E, . . .",http://cdn.nexternal.com/rocksolid/images/10-85438.jpg,"Language Arts, Handwriting, Reason For Handwriting",New,Yes,1.25,32218,No,"66, 62, 64",1
64,9780936785448,9780936785448,,A Reason For Handwriting F - Cursive,https://shop.rocksolidinc.com/a-reason-for-handwriting-f---cursive-p64.aspx?utm_medium=cse&utm_source=shoppingcom,15.94,17.95,,"This program is traditional, and uses scripture for practice. Each colorful book contains approx. 175 pages, 27 - 32 weekly lessons with writing practice pages in the back and are consumable. Level A would be 1st grade, level B is 2nd, etc. The new Transition Book is to be used as a substitute for Level B, or Level C. If you want to introduce cursive to your second grader , then you would omit Level B. If you want to wait till 3rd grade to introduce cursive, then omit Level C. In levels C, D, E, . . .",http://cdn.nexternal.com/rocksolid/images/10-85446.jpg,"Language Arts, Handwriting, Reason For Handwriting",New,Yes,1.25,32218,No,"66, 63, 3057",1
65,9780936785370,9780936785370,,A Reason For Handwriting K - Intro to Manuscript,https://shop.rocksolidinc.com/a-reason-for-handwriting-k---intro-to-manuscript-p65.aspx?utm_medium=cse&utm_source=shoppingcom,15.94,17.95,,"The Kindergarten Worktext uses a creation theme to teach letter formation. Both capitals and lowercase letters are taught and regularly reviewed throughout the school year. This text begins with motor skills practice in a fun, easy format. This program is traditional, and uses scripture for practice. Each colorful book contains approx. 175 pages, 27 - 32 weekly lessons with writing practice pages in the back and are consumable. Level A would be 1st grade, level B is 2nd, etc. The new Transition Book . . .",http://cdn.nexternal.com/rocksolid/images/10-85373.jpg,"Language Arts, Handwriting, Reason For Handwriting",New,Yes,1.25,32218,No,"59, 64, 61",1
66,9780936785400,,,A Reason For Handwriting Transition (between B and C),https://shop.rocksolidinc.com/a-reason-for-handwriting-transition-between-b-and-c-p66.aspx?utm_medium=cse&utm_source=shoppingcom,12,17.95,,"This program is traditional, and uses scripture for practice. Each colorful book contains approx. 175 pages, 27 - 32 weekly lessons with writing practice pages in the back and are consumable. Level A would be 1st grade, level B is 2nd, etc. The new Transition Book is to be used as a substitute for Level B, or Level C. If you want to introduce cursive to your second grader , then you would omit Level B. If you want to wait till 3rd grade to introduce cursive, then omit Level C. This program is traditional . . .",http://cdn.nexternal.com/rocksolid/images/10-854031.jpg,"Language Arts, Handwriting, Reason For Handwriting",New,Yes,1.75,32218,No,"2240, 60, 61",1
67,,9780740315831,,"Alpha Omega Switched-On Schoolhouse - 3rd Grade - Complete, All 5 subjects",https://shop.rocksolidinc.com/alpha-omega-switched-on-schoolhouse---3rd-grade---complete-all-5-subjects-p67.aspx?utm_medium=cse&utm_source=shoppingcom,404.96,449.95,," This complete 5-subject curriculum includes Bible, Language Arts, Science, History/Geography, and Math. and nbsp; See below to order these subjects separately. This item ships for FREE to any U.S. address Are you fed up with time-consuming lesson planning and grading? Want a curriculum that will provide outstanding academic instruction and save you time? The Switched-On Schoolhouse 3rd Grade 5-Subject Set from Alpha Omega Publications offers all this and more Presented in an interactive, media-rich . . .",http://cdn.nexternal.com/rocksolid/images/SOS201220019.jpg,"MORE  Much more, Computer, Switched On Schoolhouse from Alpha Omega, Switched on Schoolhouse Complete from  Alpha Omega",New,Yes,1.06,32218,No,"351, 350, 349",1
70,9780942617542,,,Are You Liberal? Conservative? Or Confused? -  2nd edition,https://shop.rocksolidinc.com/are-you-liberal-conservative-or-confused----2nd-edition-p70.aspx?utm_medium=cse&utm_source=shoppingcom,11.47,12.95,,"Political labels; what do they mean? Liberal, conservative, left, right, democratic, republican, moderate, socialist, libertarian, communist - what are their economic policies and what plans do their promoters have for your money? Clear, concise explanations. Facts and fallacies. This is essential knowledge for all educated persons. and nbsp; Table of contents are and nbsp; - 1. Don't Be Embarrassed 2. The Original American Philosophy 3. The Opposite of the Original American Philosophy 4. Basic . . .",http://cdn.nexternal.com/rocksolid/images/10-10019.jpg,"History Social Studies, Government",New,Yes,0.56,32218,No,"2097, 2616, 2825",1
80,9780936981543,,,Easy Grammar Daily Guided Teaching and Review for Grade 2 Workbook,https://shop.rocksolidinc.com/easy-grammar-daily-guided-teaching-andbr-review-for-grade-2-workbook-p80.aspx?utm_medium=cse&utm_source=shoppingcom,12.94,13.95,,Consumable work pages for the Easy Grammar Daily Guided Teaching and Review for Grade 2 Teacher's Edition Revised.,http://cdn.nexternal.com/rocksolid/images/10-815431.jpg,"Language Arts, Grammar and Punctuation, Easy Grammar  Daily Grams, Daily Grams",New,Yes,2,32218,No,"1365, 1452, 2499",1
81,,9781932012835,,Apologia Exploring Creation with Physical Science MP3 Audio CD 2nd Edition,https://shop.rocksolidinc.com/apologia-exploring-creation-with-physical-science-mp3-audio-cd-2nd-edition-p81.aspx?utm_medium=cse&utm_source=shoppingcom,27,29,,"This Audio CD is an audio recording of the textbook Exploring Creation with Physical Science Student Textbook, 2nd Edition, read by Kathleen Wile. The audio for the text and ""On Your Own"" questions is included, but not the study guides, tests, and answers. Perfect for students that are auditory learners, slow readers or have disabilities that make reading difficult. Requires a PC computer with sound card and speakers or a MP3 compatible CD player.",http://cdn.nexternal.com/rocksolid/images/10-12419.jpg,"Science and Health, Apologia Science Exploring Creation   9   12",New,Yes,1,32218,No,"1442, 3378, 3103",1
89,9780867179682,,,Horizons Math Second Grade Boxed Set,https://shop.rocksolidinc.com/horizons-math-second-grade-boxed-set-p89.aspx?utm_medium=cse&utm_source=shoppingcom,80.96,89.95,,"Stresses complex addition and subtraction problems, English measure (linear, weights, and liquid), Fahrenheit thermometer, ratio, decimals, calculation of area, perimeter and volume, and multiplication. HORIZONS MATH is a carefully designed curriculum that makes elementary math easy and enjoyable for both parents and students. Each boxed set consists of two books with 80 full-color lessons each, and a complete daily lesson guide in the Teacher Handbook. Through reasoning, hands-on learning and memorization . . .",http://cdn.nexternal.com/rocksolid/images/HORMathBOX.jpg,"Math, Horizons Math K 8",New,Yes,5.13,32218,No,"1647, 1646, 282",1
92,9781932012767,,,Jump In Textbook Set (Student  Teacher),https://shop.rocksolidinc.com/jump-in-textbook-set-student--teacher-p92.aspx?utm_medium=cse&utm_source=shoppingcom,36,40,,"""Writing may send warm shivers of pleasure up your spine. Or it may make you feel as though you are drowining in an angry, choppy, icy sea with nothing in sight but hungry, toothy sharks and storm clouds spitting out hail stones as big as golf balls."" This is the first paragraph of this wonderful new Creative Writing course by author Sharon Watson. Intended as a course for middle school students, ""Jump In"" can also be used by high school students who have had little practice in writing or who are . . .",http://cdn.nexternal.com/rocksolid/images/10-12767.jpg,"Language Arts, Writing, More Writing Curriculum",New,Yes,2.3,32218,No,"1742, 3232, 2625",1
93,9781929683093,,,LLATL Blue Book Package,https://shop.rocksolidinc.com/llatl-blue-book-package-p93.aspx?utm_medium=cse&utm_source=shoppingcom,72.47,98,,"This complete phonics program uses real books to teach K and/or first grade reading skills, and includes a teacher's manual. This set comes with 28 exciting story readers, sight word cards, a reading progress chart, letter dice, word wheels, flip books, and a student 225 page consumable student activity book. Handwriting skills are developed throughout various activities in this program with the introduction of each letter coinciding with the phonics instruction. Click here for a free placement . . .",http://cdn.nexternal.com/rocksolid/images/10-00040.jpg,"Early Learning, Phonics, More Phonics Programs",New,Yes,5.06,32218,No,"1480, 1897, 1898",1
95,9781880892879,,,LLATL Green Teacher's Edition (7th  Grade),https://shop.rocksolidinc.com/llatl-green-teachers-edition-7th--grade-p95.aspx?utm_medium=cse&utm_source=shoppingcom,20.29,27,,"LLATL Green Teachers Book (7th Grade Skills) 36 weekly lessons divided into easy-to-use daily plans. 4 Units: Everyday Words Poetry Unit Short Story Unit Research Unit Integrated language arts lessons including: grammar, spelling, higher-order thinking, and study skills. Teacher friendly, with little or no teacher preparation needed The Skills Index and nbsp;provides an easy skill reference. Reviews Activities follow most lessons providing additional skill practice. Assessments . . .",http://cdn.nexternal.com/rocksolid/images/10-00198.jpg,"Language Arts, Learning Language Arts Through Literature",New,Yes,1.63,32218,No,"2032, 2428, 223",1
96,9781880892848,,,LLATL Orange Teacher's Edition (4th Grade skills),https://shop.rocksolidinc.com/llatl-orange-teachers-edition-4th-grade-skills-p96.aspx?utm_medium=cse&utm_source=shoppingcom,20.29,27,,"LLATL Orange Teacher Book (4th Grade Skills) 32 weekly lessons divided into easy-to-use daily plans. 5 units include: Research Journal Writing Poetry Newspaper Book Making Teacher friendly, with little or no preparation needed Reviews Activities and nbsp;follow most lessons providing additional skill practice. Assessments  and nbsp;help teachers to evaluate student's progress. Novels covered in LLATL and nbsp;Orange and nbsp;are The Boxcar Children Wilbur and Orville Wright Ben . . .",http://cdn.nexternal.com/rocksolid/images/10-00185.jpg,"Language Arts, Learning Language Arts Through Literature",New,Yes,1.56,32218,No,"1906, 2645, 2526",1
97,9781880892855,9781880892855,,LLATL Purple Teacher's Editon  (5th Grade skills),https://shop.rocksolidinc.com/llatl-purple-teachers-editon--5th-grade-skills-p97.aspx?utm_medium=cse&utm_source=shoppingcom,20.29,27,,"LLATL and nbsp;Purple and nbsp;(5th Grade skills) 36 WEEKLY LESSONS divided into easy-to-use daily plans. 3 UNITS Speech Making Poetry Oral Presentation of Folk Tales and Tall Tales TEACHER FRIENDLY, with little or no preparation needed SKILLS INDEX and nbsp;provides an easy skill reference. REVIEWS ACTIVITIES and nbsp;follow most lessons providing additional skill practice. ASSESSMENTS and nbsp;help teachers to evaluate student's progress. EVERYDAY WORDS - and nbsp;Students hone in on grammar skills through . . .",http://cdn.nexternal.com/rocksolid/images/10-00188.jpg,"Language Arts, Learning Language Arts Through Literature",New,Yes,1.81,32218,No,"1178, 1908, 1476",1
98,,,,LLATL Red Book Package,https://shop.rocksolidinc.com/llatl-red-book-package-p98.aspx?utm_medium=cse&utm_source=shoppingcom,64.2,88,,"This first or second grade reading program is perfect for the fluent reader and continued phonics instruction will bring confidence and fluency to the beginning reader. The fluent reader will enjoy the exciting stories in the readers and use them to learn grammar, creative writing, higher-order thinking skills, and much more. It includes a Teacher Book, a Student Activity Book, and 6 readers, each containing several stories all packaged in a convenient, attractive full-color box. 36 lessons include . . .",http://cdn.nexternal.com/rocksolid/images/10-00182.jpg,"Early Learning, Phonics, More Phonics Programs",New,Yes,6.1,32218,No,"1910, 1909, 301",1
99,9781880892862,,,LLATL Tan Teacher's Edition (6th Grade skills),https://shop.rocksolidinc.com/llatl-tan-teachers-edition-6th-grade-skills-p99.aspx?utm_medium=cse&utm_source=shoppingcom,20.29,27,,"LLATL Tan Teachers Book (6th Grade Skills) 36 weekly lessons divided into easy-to-use daily plans. Two Units: Using the Library Writing a Research Paper Review Activities and nbsp;follow most lessons providing additional skill practice. Assessments help teachers evaluate student's progress. The and nbsp;Skills Index and nbsp;provides an easy skill reference. Integrated language arts lessons including: grammar, spelling, higher-order thinking, and study skills. Teacher friendly . . .",http://cdn.nexternal.com/rocksolid/images/10-00195.jpg,"Language Arts, Learning Language Arts Through Literature",New,Yes,1.94,32218,No,"1912, 1193, 2583",1
100,9781929683321,1929683324,,"LLATL Gold Book, British Literature, Teacher/Student Edition - (High school)",https://shop.rocksolidinc.com/llatl-gold-book-british-literature-teacherstudent-edition---high-school-p100.aspx?utm_medium=cse&utm_source=shoppingcom,20.29,27,,"The Gold Book - British Literature is complete curriculum for high school language arts courses. Classic poems and novels by the best and most influential authors were selected to demonstrate literary principles. The Gold Book series is designed to encourage the high school student's ability to read and understand literature, develop the ability for verbal and written expression, enable him to interpret and access literary meaning in terms of content and philosophy and clearly . . .",http://cdn.nexternal.com/rocksolid/images/LLATL_British_Literature.jpg,"Language Arts, Learning Language Arts Through Literature",New,Yes,1.5,32218,No,"2677, 436, 3988",1
101,9781880892886,,,LLATL Gray Book Teacher's Edition (8th grade skills),https://shop.rocksolidinc.com/llatl-gray-book-teachers-edition-br8th-grade-skills-p101.aspx?utm_medium=cse&utm_source=shoppingcom,20.29,27,,"LLATL Gray Teacher Book (8th Grade Skills) 36 weekly lessons divided into daily plans. Integrated language arts lessons including: grammar, spelling, higher order thinking, and study skills. Spelling lists each week from the most Commonly Misspelled Words. Vocabulary Building exercises bring meaning to vocabulary in context making it useful in everyday language. Continued study of suffixes, prefixes, and root words prepares students for college testing. PLUS, a five week Writing . . .",http://cdn.nexternal.com/rocksolid/images/10-00172.jpg,"Language Arts, Learning Language Arts Through Literature",New,Yes,1.5,32218,No,"1406, 222, 1526",1
102,9781929683222,,,LLATL Yellow Teacher's Edition (3rd Grade skills),https://shop.rocksolidinc.com/llatl-yellow-teachers-edition-br3rd-grade-skills-p102.aspx?utm_medium=cse&utm_source=shoppingcom,20.29,27,,"LLATL Yellow teacher book (5th Grade skills) 36 weekly lessons (which includes 4 Literature Links) divided into easy-to-use daily plans. Integrated language lessons include: phonics, reading, spelling, grammar, phonics review and higher order thinking skills. Spelling: and nbsp;Focus on Spelling and nbsp;tips help with memorization of spelling rules. Suggested spelling lists are included for each lesson Handwriting Skills: Instructions and and nbsp;work pages and nbsp;for cursive writing included Teacher . . .",http://cdn.nexternal.com/rocksolid/images/10-00192.jpg,"Language Arts, Learning Language Arts Through Literature",New,Yes,1.88,32218,No,"1913, 1914, 1932",1
110,9781565772014,,,Saxon Physics Kit,https://shop.rocksolidinc.com/saxon-physics-kit-p110.aspx?utm_medium=cse&utm_source=shoppingcom,86,95.55,,"After you read this thorough description of the Saxon Physics kit, and nbsp; and find you and your student will need more help, please be sure to check out this popular Saxon Math help - D.I.V.E. Instructional CD for Saxon Physics and nbsp; - a thorough explanation of each new concept presented in each chapter, with scripture references. Physics was written with both average and gifted students in mind. The subject is taught at an introductory level, allowing the average high school student to . . .",http://cdn.nexternal.com/rocksolid/images/10-00730.jpg,"Math, Saxon Math K   12, Saxon Math: Upper Grades 9 12",New,Yes,5.13,32218,No,"2316, 1308, 2284",1
111,9781565771277,,,"Saxon Advanced Math Kit, 2nd Edition",https://shop.rocksolidinc.com/saxon-advanced-math-kit-2nd-edition-p111.aspx?utm_medium=cse&utm_source=shoppingcom,85.41,94.9,,"After you read this thorough description of the Saxon Math Advanced Math kit, and nbsp; and find you and your student will need more help, please be sure to check out these popular Saxon Math helps - D.I.V.E. Instructional CD for Saxon Advanced Math, 2nd edition and nbsp; - a thorough explanation of each new concept presented in each chapter, with scripture references. Saxon Teacher CD for Saxon Advanced Math, 2nd edition - a thorough explanation of every problem in every lesson.In Advanced . . .",http://cdn.nexternal.com/rocksolid/images/10-00710.jpg,"Math, Saxon Math K   12, Saxon Math: Upper Grades 9 12",New,Yes,4.19,32218,No,"227, 3228, 1016",1
113,9781600320170,,,"Saxon Calculus Kit, Second Edition",https://shop.rocksolidinc.com/saxon-calculus-kit-second-edition-p113.aspx?utm_medium=cse&utm_source=shoppingcom,91.94,102.15,,"After you read this thorough description of the Saxon Calculus kit, and nbsp; and find you and your student will need more help, please be sure to check out this popular Saxon Math help - D.I.V.E. Instructional CD for Saxon Calculus, 2nd edition and nbsp; - a thorough explanation of each new concept presented in each chapter, with scripture references. The Saxon Calculus 2nd edition text begins with a review of the mathematical concepts and skills required for calculus. In the early problem sets . . .",http://cdn.nexternal.com/rocksolid/images/10-20171.jpg,"Math, Saxon Math K   12, Saxon Math: Upper Grades 9 12",New,Yes,5.25,32218,No,"2180, 1185, 4010",1
114,9781565770188,,,Saxon Math 1 Kit,https://shop.rocksolidinc.com/saxon-math-1-kit-p114.aspx?utm_medium=cse&utm_source=shoppingcom,114.48,127.2,,"First-graders will skip count by 1's, 2's, 5's, and 10's; compare and order numbers; identify ordinal position to tenth; identify a sorting rule; identify and extend patterns; solve routine and nonroutine problems; master all basic addition facts and most of the basic subtraction facts; add two-digit numbers without regrouping; picture and name fractions; measure using inches, feet, and centimeters; compare volume, mass, and area; tell time to the half hour; count pennies, nickels, dimes, and quarters; . . .",http://cdn.nexternal.com/rocksolid/images/10-00637.jpg,"Math, Saxon Math K   12, Saxon Math: Primary Grades K 3",New,Yes,7.5,32218,No,"7492, 2291, 2290",1
115,9781565770195,,,Saxon Math 2 Kit,https://shop.rocksolidinc.com/saxon-math-2-kit-p115.aspx?utm_medium=cse&utm_source=shoppingcom,114.48,127.2,,"Second-graders will skip count by 1's, 2's, 3's, 4's, 5's, 10's, 25's, and 100's; compare and order .....",http://cdn.nexternal.com/rocksolid/images/10-00635.jpg,"Math, Saxon Math K   12, Saxon Math: Primary Grades K 3",New,Yes,8.07,32218,No,"7492, 3806, 2293",1
116,9781565770201,,,Saxon Math 3 Kit,https://shop.rocksolidinc.com/saxon-math-3-kit-p116.aspx?utm_medium=cse&utm_source=shoppingcom,117.99,131.1,,"Third-graders will use simulations and fun activities to learn and practice new concepts. Social studies and scientifical connections are stressed. Children will skip count by whole numbers; compare and order numbers; identify place value; identify ordinal position to twentieth; identify and complete patterns; solve routine and nonroutine problems; master all basic addition, subtraction, multiplication, and division facts; add and subtract multidigit numbers; multiply a multidigit number by a single-digit . . .",http://cdn.nexternal.com/rocksolid/images/10-00638.jpg,"Math, Saxon Math K   12, Saxon Math: Primary Grades K 3",New,Yes,9.25,32218,No,"7492, 2294, 3675",1
117,9781591413479,9781591413479,,"Saxon Math 54 Kit, 3rd Edition",https://shop.rocksolidinc.com/saxon-math-54-kit-3rd-edition-p117.aspx?utm_medium=cse&utm_source=shoppingcom,94.32,104.8,,"If you read this thorough description of Saxon Math 54, and nbsp; and find that you and your student will need more help, please be sure to check out these popular Saxon Math helps - D.I.V.E. Instructional CD for Saxon 54, 3rd edition and nbsp; - a thorough explanation of each new concept presented in each chapter, with scripture references. Saxon Teacher CD for Saxon 54, 3rd edition - a thorough explanation of every problem in every lesson. and nbsp; Saxon Math 5/4 is made up of five instructional components: . . .",http://cdn.nexternal.com/rocksolid/images/10-03478.jpg,"Math, Saxon Math K   12, Saxon Math: Middle Grades 4 8",New,Yes,5.57,32218,No,"2297, 2298, 791",1
118,9781591413486,,,Saxon Math 65 3rd Edition Kit,https://shop.rocksolidinc.com/saxon-math-65-3rd-edition-kit-p118.aspx?utm_medium=cse&utm_source=shoppingcom,94.32,104.8,,"After you read this thorough description of Saxon Math 65, and nbsp; and find you and your student will need more help, please be sure to check out these popular Saxon Math helps - D.I.V.E. Instructional CD for Saxon 65, 3rd edition and nbsp; - a thorough explanation of each new concept presented in each chapter, with scripture references. Saxon Teacher CD for Saxon 65, 3rd edition - a thorough explanation of every problem in every lesson. Saxon Math 6/5 is made up of five instructional components:(1) . . .",http://cdn.nexternal.com/rocksolid/images/10-03486.jpg,"Math, Saxon Math K   12, Saxon Math: Middle Grades 4 8",New,Yes,5.75,32218,No,"2301, 2300, 2454",1
119,9781591413493,,,Saxon Math 76 4th Edition Kit,https://shop.rocksolidinc.com/saxon-math-76-4th-edition-kit-p119.aspx?utm_medium=cse&utm_source=shoppingcom,104.94,116.6,,"After you read this thorough description of Saxon Math 76, and nbsp; and find you and your student will need more help, please be sure to check out these popular Saxon Math helps - D.I.V.E. Instructional CD for Saxon 76, 4th edition and nbsp; - a thorough explanation of each new concept presented in each chapter, with scripture references. Saxon Teacher CD for Saxon 76, 4th edition - a thorough explanation of every problem in every lesson. Saxon Math 7/6 is made up of five instructional components:(1) . . .",http://cdn.nexternal.com/rocksolid/images/10-03494.jpg,"Math, Saxon Math K   12, Saxon Math: Middle Grades 4 8",New,Yes,4.16,32218,No,"2464, 1815, 1310",1
